condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,n_sem_fields,solid_area_fraction,eq_diameter_median_um,circularity_median,aspect_ratio_median,pore_component_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,n_property_workbooks,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction,analysis_unit,coupon_level_inference_allowed
COND-15e79ddcd4,500C|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,500C,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,152.76,2.635206402061692,5.0,0.0,condition/test-state,False
COND-59a2c74dc1,500C|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,500C,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,152.875,2.3003589437338974,6.0,0.2,condition/test-state,False
COND-0eccc20104,500C|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,500C,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,150.94,3.8133099159036714,7.0,0.3,condition/test-state,False
COND-e764222b0d,500C|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,500C,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,149.675,,11.0,0.8,condition/test-state,False
COND-e849215aa9,500C|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,500C,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,145.98333333333332,,18.0,1.0,condition/test-state,False
COND-180a5ab02c,500C|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,500C,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,145.70999999999998,,,1.0,condition/test-state,False
COND-463477fd16,500C|PDMS|unknown|spray|tape|0|sprayna,PDMS,500C,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,154.0,3.372291512824072,5.0,0.0,condition/test-state,False
COND-2c8ee0c31d,500C|PDMS|unknown|spray|tape|1|sprayna,PDMS,500C,unknown,spray,tape,1.0,,,,,,,,,,,,,,1.0,152.67000000000002,4.703726370788426,7.0,0.3,condition/test-state,False
COND-19a2e38d1d,500C|PDMS|unknown|spray|tape|2|sprayna,PDMS,500C,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,151.2,4.281491393190379,10.0,0.5,condition/test-state,False
COND-ea2a6cd124,500C|PDMS|unknown|spray|tape|3|sprayna,PDMS,500C,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,143.82999999999998,,,1.0,condition/test-state,False
COND-48f8a6be87,500C|PDMS|unknown|spray|tape|4|sprayna,PDMS,500C,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,142.82,,,1.0,condition/test-state,False
COND-2e590d2650,500C|PDMS|unknown|spray|tape|5|sprayna,PDMS,500C,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,140.48000000000002,,,1.0,condition/test-state,False
COND-e9323ac3c7,500C|PUR|unknown|spray|abrasion|0|sprayna,PUR,500C,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,152.685,1.2838796662550125,5.0,0.0,condition/test-state,False
COND-fbecc00459,500C|PUR|unknown|spray|abrasion|1|sprayna,PUR,500C,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,150.935,3.7796002559469457,5.0,0.0,condition/test-state,False
COND-0145fbd456,500C|PUR|unknown|spray|abrasion|2|sprayna,PUR,500C,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,152.56,2.2912677602786173,6.0,0.2,condition/test-state,False
COND-fcc5eca749,500C|PUR|unknown|spray|abrasion|3|sprayna,PUR,500C,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,152.18,1.1120794075205993,8.0,0.6,condition/test-state,False
COND-74728bd7f8,500C|PUR|unknown|spray|abrasion|4|sprayna,PUR,500C,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,148.715,,16.0,1.0,condition/test-state,False
COND-15f5a038d1,500C|PUR|unknown|spray|abrasion|5|sprayna,PUR,500C,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,147.89,,,1.0,condition/test-state,False
COND-29a199a899,500C|PUR|unknown|spray|tape|0|sprayna,PUR,500C,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,151.74,0.4997710075667025,5.0,0.0,condition/test-state,False
COND-672ecfea33,500C|PUR|unknown|spray|tape|1|sprayna,PUR,500C,unknown,spray,tape,1.0,,,,,,,,,,,,,,1.0,151.74,4.411051373954592,6.0,0.1,condition/test-state,False
COND-0a24816b20,500C|PUR|unknown|spray|tape|2|sprayna,PUR,500C,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,151.1,1.0750256258824702,8.0,0.4,condition/test-state,False
COND-48d5b75cdf,500C|PUR|unknown|spray|tape|3|sprayna,PUR,500C,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,148.07999999999998,,11.0,1.0,condition/test-state,False
COND-bc7ab8ada5,500C|PUR|unknown|spray|tape|4|sprayna,PUR,500C,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,144.29000000000002,,17.0,1.0,condition/test-state,False
COND-3ad1afa14a,500C|PUR|unknown|spray|tape|5|sprayna,PUR,500C,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,143.1,,,1.0,condition/test-state,False
COND-3f3eb1978f,900C|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,900C,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,155.29000000000002,2.997711396546918,5.0,0.0,condition/test-state,False
COND-d3813f65a5,900C|PDMS|unknown|spray|abrasion|10|sprayna,PDMS,900C,unknown,spray,abrasion,10.0,,,,,,,,,,,,,,1.0,151.185,,10.0,1.0,condition/test-state,False
COND-312ee205a8,900C|PDMS|unknown|spray|abrasion|15|sprayna,PDMS,900C,unknown,spray,abrasion,15.0,,,,,,,,,,,,,,1.0,150.9,,14.0,1.0,condition/test-state,False
COND-10904539d4,900C|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,900C,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,155.395,1.0261535942128035,5.0,0.0,condition/test-state,False
COND-bf46657ebe,900C|PDMS|unknown|spray|abrasion|20|sprayna,PDMS,900C,unknown,spray,abrasion,20.0,,,,,,,,,,,,,,1.0,142.41,,,1.0,condition/test-state,False
COND-7b143af78e,900C|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,900C,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,154.89999999999998,2.6456632774054185,5.0,0.1,condition/test-state,False
COND-9d4c995f75,900C|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,900C,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,153.875,2.5789683054442323,5.0,0.2,condition/test-state,False
COND-7ab690544a,900C|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,900C,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,152.48,1.97698620940904,5.0,0.7,condition/test-state,False
COND-7087ce1f06,900C|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,900C,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,150.58500000000004,,8.0,1.0,condition/test-state,False
