condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle
COND-15e79ddcd4,500C|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,500C,unknown,spray,abrasion,0.0,
COND-59a2c74dc1,500C|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,500C,unknown,spray,abrasion,1.0,
COND-0eccc20104,500C|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,500C,unknown,spray,abrasion,2.0,
COND-e764222b0d,500C|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,500C,unknown,spray,abrasion,3.0,
COND-e849215aa9,500C|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,500C,unknown,spray,abrasion,4.0,
COND-180a5ab02c,500C|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,500C,unknown,spray,abrasion,5.0,
COND-463477fd16,500C|PDMS|unknown|spray|tape|0|sprayna,PDMS,500C,unknown,spray,tape,0.0,
COND-2c8ee0c31d,500C|PDMS|unknown|spray|tape|1|sprayna,PDMS,500C,unknown,spray,tape,1.0,
COND-19a2e38d1d,500C|PDMS|unknown|spray|tape|2|sprayna,PDMS,500C,unknown,spray,tape,2.0,
COND-ea2a6cd124,500C|PDMS|unknown|spray|tape|3|sprayna,PDMS,500C,unknown,spray,tape,3.0,
COND-48f8a6be87,500C|PDMS|unknown|spray|tape|4|sprayna,PDMS,500C,unknown,spray,tape,4.0,
COND-2e590d2650,500C|PDMS|unknown|spray|tape|5|sprayna,PDMS,500C,unknown,spray,tape,5.0,
COND-e9323ac3c7,500C|PUR|unknown|spray|abrasion|0|sprayna,PUR,500C,unknown,spray,abrasion,0.0,
COND-fbecc00459,500C|PUR|unknown|spray|abrasion|1|sprayna,PUR,500C,unknown,spray,abrasion,1.0,
COND-0145fbd456,500C|PUR|unknown|spray|abrasion|2|sprayna,PUR,500C,unknown,spray,abrasion,2.0,
COND-fcc5eca749,500C|PUR|unknown|spray|abrasion|3|sprayna,PUR,500C,unknown,spray,abrasion,3.0,
COND-74728bd7f8,500C|PUR|unknown|spray|abrasion|4|sprayna,PUR,500C,unknown,spray,abrasion,4.0,
COND-15f5a038d1,500C|PUR|unknown|spray|abrasion|5|sprayna,PUR,500C,unknown,spray,abrasion,5.0,
COND-29a199a899,500C|PUR|unknown|spray|tape|0|sprayna,PUR,500C,unknown,spray,tape,0.0,
COND-672ecfea33,500C|PUR|unknown|spray|tape|1|sprayna,PUR,500C,unknown,spray,tape,1.0,
COND-0a24816b20,500C|PUR|unknown|spray|tape|2|sprayna,PUR,500C,unknown,spray,tape,2.0,
COND-48d5b75cdf,500C|PUR|unknown|spray|tape|3|sprayna,PUR,500C,unknown,spray,tape,3.0,
COND-bc7ab8ada5,500C|PUR|unknown|spray|tape|4|sprayna,PUR,500C,unknown,spray,tape,4.0,
COND-3ad1afa14a,500C|PUR|unknown|spray|tape|5|sprayna,PUR,500C,unknown,spray,tape,5.0,
