property_measurement_id,condition_id,coupon_id,coupon_id_status,condition_key,relative_path,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction
PROP-0ae980c63f,COND-2d166d7240,,not_provided_by_source,base|unknown|unknown|spray|none|na|sprayna,Figure 3/Contact angle_ hysteresis_roll-off angle.xlsx,153.92000000000002,0.9444907310066368,5,reported_CA_Stabw,1.3461480636315837,5.0,
PROP-a4c31293c8,COND-c870fe0083,,not_provided_by_source,base|PDMS|sieved|spray|none|na|sprayna,Figure 4/Sieved SP contact angle and pinning fraction.xlsx,151.63,0.7345046655973397,5,reported_CA_Stabw,,,1.0
PROP-c0feeb9743,COND-c77f15433f,,not_provided_by_source,base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/Unsieved SP contact angle_hysteresis_ pinning fraction.xlsx,153.49,0.6389760849740129,5,reported_CA_Stabw,1.7924277461278493,,0.0
PROP-28d7302e8b,COND-15e79ddcd4,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|0|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_0_wetting data.xlsx,152.76,1.6927205709370692,10,reported_CA_Stabw,2.635206402061692,5.0,0.0
PROP-38562b9edd,COND-59a2c74dc1,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|1|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_1_wetting data.xlsx,152.875,2.201673836449725,10,reported_CA_Stabw,2.3003589437338974,6.0,0.2
PROP-364187edc2,COND-0eccc20104,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|2|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_2_wetting data.xlsx,150.94,2.339484340073441,10,reported_CA_Stabw,3.8133099159036714,7.0,0.3
PROP-a467a6cc29,COND-e764222b0d,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|3|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_3_wetting data.xlsx,149.675,2.217251962868489,10,reported_CA_Stabw,,11.0,0.8
PROP-058274c120,COND-e849215aa9,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|4|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_4_wetting data.xlsx,145.98333333333332,3.049605378945859,10,reported_CA_Stabw,,18.0,1.0
PROP-cb92e2478a,COND-180a5ab02c,,not_provided_by_source,500C|PDMS|unknown|spray|abrasion|5|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_5_wetting data.xlsx,145.70999999999998,1.1661723815095897,10,reported_CA_Stabw,,,1.0
PROP-0285df0b5d,COND-463477fd16,,not_provided_by_source,500C|PDMS|unknown|spray|tape|0|sprayna,Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_0_wetting data.xlsx,154.0,1.5319217601684625,5,reported_CA_Stabw,3.372291512824072,5.0,0.0
