sem_field_id,condition_id,coupon_id,coupon_id_status,condition_key,relative_path,figure_folder,image_role,view,pixel_size_um,field_width_um,analysis_inclusion,solid_area_fraction,eq_diameter_median_um,circularity_median,aspect_ratio_median,pore_component_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance
FIELD-c70254877d,COND-37100e3eb8,,not_provided_by_source,base|unknown|unknown|unknown|none|na|sprayna,Figure 1/lotus_07.tif,Figure 1,reference,top,0.11165,457.3184,True,0.4624707169377652,2.717463358866586,0.2893210817123907,2.042901226813064,921.0746570632128,2.5503062640777627,16.653302894672322,2.92671218504748,0.5217246728179062,3.1000425090724524,0.1496828347444534
FIELD-1e58af2397,COND-37100e3eb8,,not_provided_by_source,base|unknown|unknown|unknown|none|na|sprayna,Figure 1/lotus_08.tif,Figure 1,reference,top,0.02233,91.46368,True,0.4660642804654349,0.5748494222573213,0.4108378445019006,2.025896580968864,47265.6731914017,9.32491165347952,1.2145982313612664,2.7851551454644934,0.5629601137262408,3.1558768613047183,0.0669315457344055
FIELD-68824ed9f2,COND-37100e3eb8,,not_provided_by_source,base|unknown|unknown|unknown|none|na|sprayna,Figure 2/High magnification SEM of SP.tif,Figure 2,particle,top,0.011165,11.43296,True,0.5744639236600846,0.2070117153877778,0.8805782064118304,1.3393595330751653,828700.5302951628,18.95257764036945,0.2461209415106336,8.19706331171192,0.3353373910684951,3.227031916033996,0.1299954503774643
FIELD-656b219ca1,COND-37100e3eb8,,not_provided_by_source,base|unknown|unknown|unknown|none|na|sprayna,Figure 2/Low magnification SEM of SP.tif,Figure 2,particle,top,0.03721667,38.10987008,True,0.4867399616537377,0.2392281669319192,0.9840941886727016,1.5034138029829285,388826.21916357474,5.483144333895361,0.6821555909851703,3.944719952665331,0.5071222997518858,3.147724208101545,0.151345208287239
FIELD-761c42126c,COND-2d166d7240,,not_provided_by_source,base|unknown|unknown|spray|none|na|sprayna,Figure 3/Coating side-view SEM.tif,Figure 3,coating,side,0.2233,228.6592,True,0.23064367727433,3.246368580155586,0.6997438426702546,1.786036333725568,1104.9340403935505,0.4788816947606646,7.859524494238079,2.913269347081492,0.5957981168558363,3.099066657144584,0.0627956762909889
FIELD-049ffe6003,COND-2d166d7240,,not_provided_by_source,base|unknown|unknown|spray|none|na|sprayna,Figure 3/Coating top-view SEM.tif,Figure 3,coating,top,1.1165,1143.296,True,0.4758090730782792,10.764037863974307,1.0,1.232980333803701,58.56150414085816,0.2172793996893627,13.489471844370598,5.781277964153003,0.4418127598319497,3.259436986717459,0.1625948399305343
FIELD-5bab3941c6,COND-2d166d7240,,not_provided_by_source,base|unknown|unknown|spray|none|na|sprayna,Figure 3/High magnification SP coating SEM.tif,Figure 3,coating,top,0.011165,11.43296,True,0.5373049629760226,0.0666642200538982,1.0,1.3939603815328718,7436206.091848594,22.275807866930016,0.1227311942625359,4.837341324120434,0.4491242705802052,3.213906225187111,0.1542525738477707
FIELD-885eca2f85,COND-c870fe0083,,not_provided_by_source,base|PDMS|sieved|spray|none|na|sprayna,Figure 4/sieved SP coating_SEM.tif,Figure 4,coating,top,1.1165,1143.296,True,0.5153605430183357,20.07847134006097,0.9276858030412474,1.3255409621123733,24.308548888658105,0.1862565804350311,21.23081108749636,5.436669845350646,0.4590696459945841,3.195509765732776,0.1916342079639434
FIELD-0fb9bff83c,COND-c77f15433f,,not_provided_by_source,base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/unsieved SP coating_SEM_01.tif,Figure 4,coating,top,1.1165,1143.296,True,0.4187139126410437,12.5983534006214,0.9765301792254112,1.3002597227939108,19.888812727083906,0.1986511509622618,15.814735234579524,5.034343082249556,0.4590377118859916,3.1847002481266915,0.233489453792572
FIELD-288429d7fc,COND-c77f15433f,,not_provided_by_source,base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/unsieved SP coating_SEM_02.tif,Figure 4,coating,top,0.4466,457.3184,True,0.4418538985366713,10.015484840252649,0.8006554716135295,1.3306263879324862,158.83426830657285,0.4602441935921429,12.330174369791688,5.342697166303855,0.4552332573398377,3.0700555169353234,0.2363201230764389
