durability_series_key,primer,material,sieving,coating_method,test_type,observed_cycles,max_observed_cycle,contact_angle_baseline,contact_angle_final,contact_angle_change,contact_angle_slope_per_cycle,contact_angle_time_average,hysteresis_baseline,hysteresis_final,hysteresis_change,hysteresis_slope_per_cycle,hysteresis_time_average,rolloff_angle_baseline,rolloff_angle_final,rolloff_angle_change,rolloff_angle_slope_per_cycle,rolloff_angle_time_average,pinning_baseline,pinning_final,pinning_change,pinning_slope_per_cycle,pinning_time_average,contact_angle_retention_fraction,composite_failure_observed,first_composite_failure_cycle,right_censored_cycle
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,6,5,152.76,145.70999999999998,-7.050000000000011,-1.6340000000000012,149.74166666666665,2.635206402061692,3.8133099159036714,1.1781035138419793,0.5890517569209893,2.7623085513582897,5.0,18.0,13.0,3.0999999999999996,8.875,0.0,1.0,1.0,0.22571428571428565,0.5599999999999999,0.9538491751767477,True,3,
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,6,5,154.0,140.48000000000002,-13.519999999999982,-2.9862857142857173,147.55199999999996,3.372291512824072,4.281491393190379,0.9091998803663071,0.4545999401831537,4.265308911897826,5.0,10.0,5.0,2.5,7.25,0.0,1.0,1.0,0.21714285714285708,0.6599999999999999,0.9122077922077924,True,3,
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,9,20,155.29000000000002,142.41,-12.880000000000024,-0.5269780701754446,150.625,2.997711396546918,1.97698620940904,-1.0207251871378782,-0.04886356630443308,2.1845334950101085,5.0,14.0,9.0,0.6388888888888888,8.766666666666667,0.0,1.0,1.0,0.053333333333333344,0.825,0.9170584068516967,True,4,
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,7,10,153.49,137.16,-16.330000000000013,-1.8416956521738974,146.54649999999998,1.4984218648473018,2.3766405878905723,0.8782187230432705,0.18176050457531487,1.4928872022306288,5.0,7.0,2.0,0.2857142857142854,5.2,0.0,1.0,1.0,0.12130434782608694,0.6,0.8936087041501074,True,4,
PDMS|unsintered|unknown|spray|abrasion,PDMS,unsintered,unknown,spray,abrasion,6,5,151.955,143.73000000000002,-8.224999999999994,-1.9515714285714267,147.69850000000002,3.794839529960973,2.632781608132018,-1.1620579218289548,-1.1620579218289548,3.2138105690464958,5.0,17.0,12.0,4.199999999999999,9.666666666666666,0.0,1.0,1.0,0.21999999999999992,0.72,0.9458721331973282,True,2,
PDMS|unsintered|unknown|spray|tape,PDMS,unsintered,unknown,spray,tape,6,5,153.26999999999998,141.96000000000004,-11.309999999999945,-2.2691428571428407,144.505,2.374811512680964,2.374811512680964,0.0,,,5.0,11.0,6.0,5.999999999999998,8.0,0.0,1.0,1.0,0.16857142857142854,0.8400000000000001,0.9262086513994915,True,1,
PUR|500C|unknown|spray|abrasion,PUR,500C,unknown,spray,abrasion,6,5,152.685,147.89,-4.795000000000016,-0.8861428571428633,150.9355,1.2838796662550125,1.1120794075205993,-0.17180025873441318,-0.20037332718715714,2.422949184371123,5.0,16.0,11.0,2.5000000000000004,7.375,0.0,1.0,1.0,0.23999999999999994,0.45999999999999996,0.9685954743426006,True,3,
PUR|500C|unknown|spray|tape,PUR,500C,unknown,spray,tape,6,5,151.74,143.1,-8.640000000000015,-1.9591428571428562,148.52599999999998,0.4997710075667025,1.0750256258824702,0.5752546183157676,0.28762730915788454,2.5992248453395894,5.0,17.0,12.0,2.8999999999999995,9.0,0.0,1.0,1.0,0.23714285714285707,0.6,0.9430604982206405,True,3,
PUR|900C|unknown|spray|abrasion,PUR,900C,unknown,spray,abrasion,9,20,154.46,148.41500000000002,-6.0449999999999875,-0.3673114035087774,143.269875,1.2123544657097227,1.0999159761706494,-0.11243848953907332,-0.057908164982279325,1.0402264781358697,5.0,15.0,10.0,1.1043478260869566,9.5,0.0,1.0,1.0,0.05403508771929825,0.8200000000000001,0.9608636540204585,True,4,
PUR|900C|unknown|spray|tape,PUR,900C,unknown,spray,tape,8,15,153.14999999999998,146.17,-6.97999999999999,-0.5043333333333334,148.46,0.9322278062943118,3.7707333516157178,2.838505545321406,0.7356741736637862,1.7281196712116487,5.0,15.0,10.0,1.065217391304348,9.6,0.0,1.0,1.0,0.07111111111111112,0.7933333333333333,0.9544237675481555,True,4,
PUR|unsintered|unknown|spray|abrasion,PUR,unsintered,unknown,spray,abrasion,6,5,154.34499999999997,144.29444444444448,-10.05055555555549,-2.030936507936507,147.97594444444448,0.3328235380904346,1.2027125863229629,0.8698890482325283,0.869889048232528,0.7677680622066987,5.0,19.0,14.0,3.3999999999999995,8.75,0.0,1.0,1.0,0.23142857142857137,0.6799999999999999,0.9348825322779779,True,2,
PUR|unsintered|unknown|spray|tape,PUR,unsintered,unknown,spray,tape,6,5,152.17000000000002,142.17,-10.000000000000028,-2.3891428571428595,144.58200000000002,1.1329184472934533,1.491485339506189,0.35856689221273563,0.3585668922127353,1.3122018933998212,5.0,18.0,13.0,3.1,10.375,0.0,1.0,1.0,0.20285714285714282,0.76,0.9342840244463427,True,2,
