durability_series_key,contact_angle_failure_threshold_deg,failure_observed,first_failure_cycle,right_censored_cycle
PDMS|500C|unknown|spray|abrasion,145,False,,5.0
PDMS|500C|unknown|spray|abrasion,150,True,3.0,
PDMS|500C|unknown|spray|abrasion,155,True,0.0,
PDMS|500C|unknown|spray|tape,145,True,3.0,
PDMS|500C|unknown|spray|tape,150,True,3.0,
PDMS|500C|unknown|spray|tape,155,True,0.0,
PDMS|900C|unknown|spray|abrasion,145,True,20.0,
PDMS|900C|unknown|spray|abrasion,150,True,20.0,
PDMS|900C|unknown|spray|abrasion,155,True,2.0,
PDMS|900C|unknown|spray|tape,145,True,10.0,
PDMS|900C|unknown|spray|tape,150,True,4.0,
PDMS|900C|unknown|spray|tape,155,True,0.0,
PDMS|unsintered|unknown|spray|abrasion,145,True,3.0,
PDMS|unsintered|unknown|spray|abrasion,150,True,2.0,
PDMS|unsintered|unknown|spray|abrasion,155,True,0.0,
PDMS|unsintered|unknown|spray|tape,145,True,2.0,
PDMS|unsintered|unknown|spray|tape,150,True,1.0,
PDMS|unsintered|unknown|spray|tape,155,True,0.0,
PUR|500C|unknown|spray|abrasion,145,False,,5.0
PUR|500C|unknown|spray|abrasion,150,True,4.0,
PUR|500C|unknown|spray|abrasion,155,True,0.0,
PUR|500C|unknown|spray|tape,145,True,4.0,
PUR|500C|unknown|spray|tape,150,True,3.0,
PUR|500C|unknown|spray|tape,155,True,0.0,
PUR|900C|unknown|spray|abrasion,145,True,4.0,
PUR|900C|unknown|spray|abrasion,150,True,4.0,
PUR|900C|unknown|spray|abrasion,155,True,0.0,
PUR|900C|unknown|spray|tape,145,False,,15.0
PUR|900C|unknown|spray|tape,150,True,4.0,
PUR|900C|unknown|spray|tape,155,True,0.0,
PUR|unsintered|unknown|spray|abrasion,145,True,5.0,
PUR|unsintered|unknown|spray|abrasion,150,True,2.0,
PUR|unsintered|unknown|spray|abrasion,155,True,0.0,
PUR|unsintered|unknown|spray|tape,145,True,2.0,
PUR|unsintered|unknown|spray|tape,150,True,2.0,
PUR|unsintered|unknown|spray|tape,155,True,0.0,
