durability_series_key,primer,material,sieving,coating_method,test_type,cycle,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,0,152.76,2.635206402061692,5.0,0.0
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,1,152.875,2.3003589437338974,6.0,0.2
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,2,150.94,3.8133099159036714,7.0,0.3
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,3,149.675,,11.0,0.8
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,4,145.98333333333332,,18.0,1.0
PDMS|500C|unknown|spray|abrasion,PDMS,500C,unknown,spray,abrasion,5,145.70999999999998,,,1.0
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,0,154.0,3.372291512824072,5.0,0.0
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,1,152.67000000000002,4.703726370788426,7.0,0.3
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,2,151.2,4.281491393190379,10.0,0.5
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,3,143.82999999999998,,,1.0
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,4,142.82,,,1.0
PDMS|500C|unknown|spray|tape,PDMS,500C,unknown,spray,tape,5,140.48000000000002,,,1.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,0,155.29000000000002,2.997711396546918,5.0,0.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,1,155.395,1.0261535942128035,5.0,0.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,2,154.89999999999998,2.6456632774054185,5.0,0.1
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,3,153.875,2.5789683054442323,5.0,0.2
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,4,152.48,1.97698620940904,5.0,0.7
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,5,150.58500000000004,,8.0,1.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,10,151.185,,10.0,1.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,15,150.9,,14.0,1.0
PDMS|900C|unknown|spray|abrasion,PDMS,900C,unknown,spray,abrasion,20,142.41,,,1.0
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,0,153.49,1.4984218648473018,5.0,0.0
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,1,154.68,1.1474396519373231,5.0,0.0
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,2,154.73999999999998,1.6779706790123232,5.0,0.0
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,3,150.17,1.208607251603932,5.0,0.1
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,4,147.51000000000002,2.3766405878905723,5.0,0.4
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,5,146.24,,7.0,1.0
PDMS|900C|unknown|spray|tape,PDMS,900C,unknown,spray,tape,10,137.16,,,1.0
