image_id,input_filename,relative_path,image_role,condition_key,selection_seed,width_px,height_px,crop_y_px,pixel_size_um,pixels_per_um,min_particle_size_px,min_particle_area_um2,python_pore_area_fraction,python_eq_diameter_median_um,python_circularity_median,python_object_count
sem_01,sem_01.tif,Figure 3/Coating side-view SEM.tif,coating,base|unknown|unknown|spray|none|na|sprayna,20260830,1024,709,709,0.2233,4.478280340349306,12,0.59835468,0.76935632272567,3.246368580155586,0.6997438426702546,73.0
sem_02,sem_02.tif,Figure 3/Coating top-view SEM.tif,coating,base|unknown|unknown|spray|none|na|sprayna,20260830,1024,709,709,1.1165,0.8956560680698611,12,14.958867000000001,0.5241909269217208,10.764037863974307,1.0,2136.0
sem_03,sem_03.tif,Figure 5/Unsintered SP_Coating after tape test_SEM.tif,coating,unsintered|PDMS|unknown|spray|tape|1|sprayna,20260830,1024,709,709,0.4466,2.239140170174653,12,2.39341872,0.6114217868476728,6.694870979339597,0.7885244970622721,598.0
sem_04,sem_04.tif,Figure 6/Binder SP_coating failure after tape_SEM.tif,coating,binder|PUR|unknown|spray|tape|25|sprayna,20260830,1024,709,709,0.2233,4.478280340349306,12,0.59835468,0.8279817524682651,2.50704067236955,0.8189480654984088,325.0
sem_05,sem_05.tif,Supplementary Figure S3/SP coating_2 spray cycle.png,coating,base|unknown|unknown|spray|none|na|spray2,20260830,690,374,374,0.694444,1.44000092160059,12,5.787029629631999,0.5015732775323568,11.780033048363196,0.8846379077923384,281.0
sem_06,sem_06.tif,Supplementary Figure S3/SP coating_3 spray cycle.png,coating,base|unknown|unknown|spray|none|na|spray3,20260830,690,374,374,0.694444,1.44000092160059,12,5.787029629631999,0.5505502596295435,9.942720412154348,0.9468587356777374,363.0
sem_07,sem_07.tif,Supplementary Figure S7/unsieved SP coating_PUR_SEM.tif,coating,base|PUR|unsieved|spray|none|na|sprayna,20260830,1024,709,709,1.1165,0.8956560680698611,12,14.958867000000001,0.5978752534379408,11.885262827644343,0.923535245859492,1439.0
sem_08,sem_08.tif,Figure 2/High magnification SEM of SP.tif,particle,base|unknown|unknown|unknown|none|na|sprayna,20260830,1024,709,709,0.011165,89.56560680698612,12,0.0014958867,0.4255360763399153,0.2070117153877778,0.8805782064118304,588.0
sem_09,sem_09.tif,Supplementary Figure S1/Primary particles_SEM.tif,particle,base|unknown|unknown|unknown|none|na|sprayna,20260830,1024,709,709,0.004466,223.91401701746528,12,0.00023934187200000005,0.3587083480253878,0.1739120437520879,0.911998873303036,371.0
sem_10,sem_10.tif,Supplementary Figure S2/Spray dried SPs_SEM_02.tif,particle,base|unknown|unknown|spray|none|na|sprayna,20260830,1024,709,709,0.4466,2.239140170174653,12,2.39341872,0.6174368058004231,7.855489226699074,0.8482794135197185,434.0
sem_11,sem_11.tif,Supplementary Figure S8/Binder SP_low magnification_SEM_02.tif,particle,binder|unknown|unknown|unknown|none|na|sprayna,20260830,1024,709,709,0.2233,4.478280340349306,12,0.59835468,0.5915530787200282,5.010689618457,0.8418153507488895,322.0
sem_12,sem_12.tif,Figure 1/lotus_07.tif,reference,base|unknown|unknown|unknown|none|na|sprayna,20260830,4096,2828,2828,0.11165,8.956560680698612,173,2.1565699925,0.5375292830622348,2.717463358866586,0.2893210817123907,56.0
