relative_path,width_px,height_px,crop_y_px,pixel_size_um,calibration_source,field_width_um,otsu_threshold,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key
Figure 1/lotus_07.tif,4096,2828,2828,0.11165,tiff_metadata,457.3184,0.41210968061838626,Figure 1,unknown,base,unknown,unknown,none,,,top,reference,base|unknown|unknown|unknown|none|na|sprayna
Figure 1/lotus_08.tif,4096,2828,2828,0.02233,tiff_metadata,91.46368,0.376953125,Figure 1,unknown,base,unknown,unknown,none,,,top,reference,base|unknown|unknown|unknown|none|na|sprayna
Figure 2/High magnification SEM of SP.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.5042983219923372,Figure 2,unknown,base,unknown,unknown,none,,,top,particle,base|unknown|unknown|unknown|none|na|sprayna
Figure 2/Low magnification SEM of SP.tif,1024,709,709,0.03721667,tiff_metadata,38.10987008,0.40702683286872343,Figure 2,unknown,base,unknown,unknown,none,,,top,particle,base|unknown|unknown|unknown|none|na|sprayna
Figure 3/Coating side-view SEM.tif,1024,709,709,0.2233,tiff_metadata,228.6592,0.580078125,Figure 3,unknown,base,unknown,spray,none,,,side,coating,base|unknown|unknown|spray|none|na|sprayna
Figure 3/Coating top-view SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.46090682771682623,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna
Figure 3/High magnification SP coating SEM.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.4198913671932587,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna
Figure 4/sieved SP coating_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.4389908532107256,Figure 4,PDMS,base,sieved,spray,none,,,top,coating,base|PDMS|sieved|spray|none|na|sprayna
Figure 4/unsieved SP coating_SEM_01.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.40316983631055336,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna
Figure 4/unsieved SP coating_SEM_02.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.38611193199562877,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna
Figure 5/900C SP_Coating after tape test_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.43558304487135047,Figure 5,PDMS,900C,unknown,spray,tape,5.0,,top,coating,900C|PDMS|unknown|spray|tape|5|sprayna
Figure 5/Unsintered SP_Coating after tape test_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.36579471718255263,Figure 5,PDMS,unsintered,unknown,spray,tape,1.0,,top,coating,unsintered|PDMS|unknown|spray|tape|1|sprayna
Figure 6/900C SP_coating failure after abrasion_magnified_SEM.tif,1024,709,709,0.04466,tiff_metadata,45.73184,0.34537848414526806,Figure 6,PUR,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PUR|unknown|spray|abrasion|15|sprayna
Figure 6/900C SP_coating failure after abrasion_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.35371768974607676,Figure 6,PUR,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PUR|unknown|spray|abrasion|15|sprayna
Figure 6/Binder SP_coating failure after tape_magnified_SEM.tif,1024,709,709,0.02233,tiff_metadata,22.86592,0.5092182111988688,Figure 6,PUR,binder,unknown,spray,tape,25.0,,top,coating,binder|PUR|unknown|spray|tape|25|sprayna
Figure 6/Binder SP_coating failure after tape_SEM.tif,1024,709,709,0.2233,tiff_metadata,228.6592,0.5057902374537662,Figure 6,PUR,binder,unknown,spray,tape,25.0,,top,coating,binder|PUR|unknown|spray|tape|25|sprayna
Supplementary Figure S1/Primary particles_SEM.tif,1024,709,709,0.004466,tiff_metadata,4.573184,0.518242345474178,Supplementary Figure S1,unknown,base,unknown,unknown,none,,,top,particle,base|unknown|unknown|unknown|none|na|sprayna
Supplementary Figure S2/Spray dried SPs_SEM_01.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.40813808440339017,Supplementary Figure S2,unknown,base,unknown,spray,none,,,top,particle,base|unknown|unknown|spray|none|na|sprayna
Supplementary Figure S2/Spray dried SPs_SEM_02.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.40416857757509206,Supplementary Figure S2,unknown,base,unknown,spray,none,,,top,particle,base|unknown|unknown|spray|none|na|sprayna
Supplementary Figure S3/SP coating_1 spray cycle.png,690,374,374,0.694444,manual_scale_bar,479.16635999999994,0.4237429916393012,Supplementary Figure S3,unknown,base,unknown,spray,none,,1.0,top,coating,base|unknown|unknown|spray|none|na|spray1
Supplementary Figure S3/SP coating_2 spray cycle.png,690,374,374,0.694444,manual_scale_bar,479.16635999999994,0.4236870107706636,Supplementary Figure S3,unknown,base,unknown,spray,none,,2.0,top,coating,base|unknown|unknown|spray|none|na|spray2
Supplementary Figure S3/SP coating_3 spray cycle.png,690,374,374,0.694444,manual_scale_bar,479.16635999999994,0.41988247889094055,Supplementary Figure S3,unknown,base,unknown,spray,none,,3.0,top,coating,base|unknown|unknown|spray|none|na|spray3
Supplementary Figure S4/SP dip coating_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.3678071984586495,Supplementary Figure S4,unknown,base,unknown,dip,none,,,top,coating,base|unknown|unknown|dip|none|na|sprayna
Supplementary Figure S7/sieved SP coating_PUR_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.36534219933537315,Supplementary Figure S7,PUR,base,sieved,spray,none,,,top,coating,base|PUR|sieved|spray|none|na|sprayna
Supplementary Figure S7/unsieved SP coating_PUR_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.3437867479888155,Supplementary Figure S7,PUR,base,unsieved,spray,none,,,top,coating,base|PUR|unsieved|spray|none|na|sprayna
Supplementary Figure S8/Binder SP_high magnification_SEM.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.47175885314143784,Supplementary Figure S8,unknown,binder,unknown,unknown,none,,,top,particle,binder|unknown|unknown|unknown|none|na|sprayna
Supplementary Figure S8/Binder SP_low magnification_SEM_01.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.46017494683701443,Supplementary Figure S8,unknown,binder,unknown,unknown,none,,,top,particle,binder|unknown|unknown|unknown|none|na|sprayna
Supplementary Figure S8/Binder SP_low magnification_SEM_02.tif,1024,709,709,0.2233,tiff_metadata,228.6592,0.4277256513044695,Supplementary Figure S8,unknown,binder,unknown,unknown,none,,,top,particle,binder|unknown|unknown|unknown|none|na|sprayna
