relative_path,width_px,height_px,crop_y_px,pixel_size_um,calibration_source,field_width_um,otsu_threshold,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,solid_area_fraction,pore_area_fraction,pore_component_density_per_mm2,pore_euler_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,object_count,eq_diameter_median_um,eq_diameter_iqr_um,circularity_median,aspect_ratio_median,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,texture_contrast_scale_1,texture_contrast_scale_2,texture_contrast_scale_3,solid_fraction_sensitivity_min,solid_fraction_sensitivity_max,diameter_sensitivity_min_um,diameter_sensitivity_max_um,failure_flags,analysis_inclusion,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction
Figure 3/Coating top-view SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.46090682771682623,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna,0.47580907307827924,0.5241909269217208,58.561504140858155,-2433.0647569465973,0.21727939968936272,13.489471844370598,2136.0,10.764037863974309,9.520109567492526,1.0,1.2329803338037013,5.781277964153003,0.4418127598319497,3.259436986717459,0.16259483993053436,2.1386045002537375,6.430359274740701,8.774870117464573,0.40781883594851903,0.5446353799365303,10.157117231996326,11.05501024302332,,True,153.92000000000002,1.3461480636315837,5.0,
Figure 3/High magnification SP coating SEM.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.4198913671932587,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna,0.5373049629760226,0.4626950370239774,7436206.091848594,1624253.0393785192,22.275807866930016,0.12273119426253598,391.0,0.06666422005389822,0.06472772541914026,1.0,1.3939603815328718,4.837341324120434,0.4491242705802052,3.213906225187111,0.1542525738477707,4.837341324120434,,,0.4771795662905501,0.5937307166784203,0.06423924982890653,0.06666422005389822,,True,153.92000000000002,1.3461480636315837,5.0,
Figure 4/sieved SP coating_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.4389908532107256,Figure 4,PDMS,base,sieved,spray,none,,,top,coating,base|PDMS|sieved|spray|none|na|sprayna,0.5153605430183357,0.48463945698166433,24.308548888658102,-1109.3537765551243,0.18625658043503113,21.230811087496356,1057.0,20.078471340060972,10.132503870817905,0.9276858030412474,1.3255409621123733,5.436669845350646,0.45906964599458416,3.1955097657327753,0.19163420796394348,1.9380448330942106,5.023800257852259,9.348164445105468,0.4635600317348378,0.5660302252291961,19.02309646634436,21.417200781056376,,True,151.63,,,1.0
Figure 4/unsieved SP coating_SEM_01.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.40316983631055336,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna,0.41871391264104374,0.5812860873589563,19.888812727083902,-1977.8319323044548,0.1986511509622618,15.814735234579523,1791.0,12.598353400621399,10.287058233766839,0.9765301792254112,1.3002597227939108,5.034343082249556,0.4590377118859916,3.1847002481266915,0.23348945379257202,2.161881639498082,4.983203742825781,7.957943864424805,0.3634079689703808,0.4742664073519041,11.615107926571602,13.451360510517945,,True,153.49,1.7924277461278493,,0.0
Figure 4/unsieved SP coating_SEM_02.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.38611193199562877,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna,0.44185389853667134,0.5581461014633287,158.83426830657285,-3031.6627733298033,0.46024419359214297,12.330174369791688,470.0,10.015484840252647,9.567279108243152,0.8006554716135295,1.3306263879324862,5.3426971663038545,0.4552332573398377,3.0700555169353234,0.2363201230764389,2.0888610286110696,5.66544842884049,8.273782041460006,0.3968865699929478,0.48411054301833567,9.373706991585482,10.843369911050145,,True,153.49,1.7924277461278493,,0.0
Figure 5/Unsintered SP_Coating after tape test_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.36579471718255263,Figure 5,PDMS,unsintered,unknown,spray,tape,1.0,,top,coating,unsintered|PDMS|unknown|spray|tape|1|sprayna,0.3885782131523272,0.6114217868476728,296.9510233557666,-4184.9376779905715,0.5097139137217288,10.383910371643255,598.0,6.694870979339597,8.521797213124803,0.7885244970622721,1.3915622032601016,4.899990154684742,0.46854269448420793,3.0657436221820884,0.2521556317806244,2.169254892274834,5.206488396278472,7.324227175500921,0.3320119666784203,0.4477339342383639,6.60903423456047,6.891195666599452,,True,148.54,,11.0,0.7
Figure 6/900C SP_coating failure after abrasion_magnified_SEM.tif,1024,709,709,0.04466,tiff_metadata,45.73184,0.34537848414526806,Figure 6,PUR,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PUR|unknown|spray|abrasion|15|sprayna,0.29928816995768687,0.7007118300423131,247228.9915380569,-31076.269886068603,4.596643739297763,0.6138299553896357,265.0,0.2938415705331363,0.23373965058495114,0.9235352458594918,1.6434510005830674,3.8876053408467337,0.5268826987114127,3.1065749653628787,0.1702011078596115,3.2841424528727186,4.491068228820749,,0.24968595733427362,0.3493283894569817,0.280578652377273,0.31064586446856945,,True,144.51,,,1.0
Figure 6/900C SP_coating failure after abrasion_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.35371768974607676,Figure 6,PUR,900C,unknown,spray,abrasion,15.0,,top,coating,900C|PUR|unknown|spray|abrasion|15|sprayna,0.28734490699929477,0.7126550930007052,276.23351009838757,-4095.1617872085953,0.48908405350060663,9.54051404730972,537.0,4.807225272862896,7.685568024430735,0.7731645360369906,1.4981890983104535,3.805009108825496,0.5195154832175805,3.064731647343223,0.19878916442394257,1.6854872184270906,3.8587665712547436,5.870773536794652,0.24060351287023976,0.34335882404795487,4.754105131057737,5.212735235868941,,True,144.51,,,1.0
Supplementary Figure S4/SP dip coating_SEM.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.3678071984586495,Supplementary Figure S4,unknown,base,unknown,dip,none,,,top,coating,base|unknown|unknown|dip|none|na|sprayna,0.4883418547249647,0.5116581452750353,283.1393478508473,-4233.278542257789,0.4940217730721445,9.227036334325584,657.0,6.394207360230821,7.383406500853267,0.8363754968426208,1.3766973508735774,5.54405173729442,0.4492928090349491,3.124275898657156,0.23264183104038239,2.191165559744848,6.081551862705239,8.359437789433173,0.44421197328984485,0.5306935384344147,6.171907486155937,7.00087675909709,,True,153.45999999999998,2.0797338935574126,5.0,
Supplementary Figure S7/sieved SP coating_PUR_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.36534219933537315,Supplementary Figure S7,PUR,base,sieved,spray,none,,,top,coating,base|PUR|sieved|spray|none|na|sprayna,0.46299117374823695,0.537008826251763,41.98749353495491,-1033.1133277679692,0.19239650056183782,21.07414273307097,1005.0,18.897530100932098,9.891667749353006,0.8502478895140003,1.412794543284973,4.6039383408001955,0.47809389273850833,3.1436763080033208,0.2437341958284378,1.9900464766374908,4.198333281018194,7.623435264744903,0.4092320279442877,0.5145368697108603,17.502191897742726,20.23595195907343,,True,150.04000000000002,,,1.0
