relative_path,width_px,height_px,crop_y_px,pixel_size_um,calibration_source,field_width_um,otsu_threshold,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,solid_area_fraction,pore_area_fraction,pore_component_density_per_mm2,pore_euler_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,object_count,eq_diameter_median_um,eq_diameter_iqr_um,circularity_median,aspect_ratio_median,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,texture_contrast_scale_1,texture_contrast_scale_2,texture_contrast_scale_3,solid_fraction_sensitivity_min,solid_fraction_sensitivity_max,diameter_sensitivity_min_um,diameter_sensitivity_max_um,failure_flags,analysis_inclusion
Figure 1/lotus_07.tif,4096,2828,2828,0.11165,tiff_metadata,457.3184,0.41210968061838626,Figure 1,unknown,base,unknown,unknown,none,,,top,reference,base|unknown|unknown|unknown|none|na|sprayna,0.4624707169377652,0.5375292830622348,921.0746570632128,-8608.239088192282,2.5503062640777627,16.653302894672322,56.0,2.7174633588665866,3.2754657763593045,0.2893210817123907,2.042901226813064,2.92671218504748,0.5217246728179062,3.1000425090724524,0.14968283474445343,1.7632273145225748,3.138634198437645,3.8782750421822207,0.393215584114215,0.5307409996021923,2.0235951959073426,2.8142589734256407,,True
Figure 1/lotus_08.tif,4096,2828,2828,0.02233,tiff_metadata,91.46368,0.376953125,Figure 1,unknown,base,unknown,unknown,none,,,top,reference,base|unknown|unknown|unknown|none|na|sprayna,0.4660642804654349,0.5339357195345651,47265.6731914017,-172961.19970040402,9.32491165347952,1.2145982313612664,408.0,0.5748494222573213,0.4083942860376817,0.41083784450190064,2.0258965809688636,2.7851551454644934,0.5629601137262408,3.1558768613047183,0.06693154573440552,2.7006168090713105,2.869693481857676,,0.4000164717225071,0.533729391354314,0.5588899932409553,0.5748494222573213,,True
Figure 2/High magnification SEM of SP.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.5042983219923372,Figure 2,unknown,base,unknown,unknown,none,,,top,particle,base|unknown|unknown|unknown|none|na|sprayna,0.5744639236600846,0.42553607633991536,828700.5302951628,-5292634.053485107,18.952577640369455,0.2461209415106336,588.0,0.2070117153877778,0.10430699436263782,0.8805782064118304,1.3393595330751653,8.19706331171192,0.3353373910684951,3.227031916033996,0.1299954503774643,8.19706331171192,,,0.5054985014104373,0.6397613826692524,0.20235951959073428,0.20701207034826777,,True
Figure 2/Low magnification SEM of SP.tif,1024,709,709,0.03721667,tiff_metadata,38.10987008,0.40702683286872343,Figure 2,unknown,base,unknown,unknown,none,,,top,particle,base|unknown|unknown|unknown|none|na|sprayna,0.4867399616537377,0.5132600383462623,388826.21916357474,340098.6367108506,5.483144333895361,0.6821555909851703,38.0,0.23922816693191923,0.16723466019296912,0.9840941886727015,1.5034138029829283,3.944719952665331,0.5071222997518858,3.147724208101545,0.15134520828723907,3.2824022694797925,4.60703763585087,,0.46251046808885754,0.5072408872531735,0.23922816693191923,0.2817077713148761,,True
Figure 3/Coating side-view SEM.tif,1024,709,709,0.2233,tiff_metadata,228.6592,0.580078125,Figure 3,unknown,base,unknown,spray,none,,,side,coating,base|unknown|unknown|spray|none|na|sprayna,0.23064367727433005,0.76935632272567,1104.9340403935503,-828.7005302951626,0.4788816947606646,7.859524494238079,73.0,3.246368580155586,4.967460569192703,0.6997438426702546,1.786036333725568,2.913269347081492,0.5957981168558363,3.0990666571445837,0.06279567629098892,1.1283619509699245,3.3942095829871892,4.217236507287362,0.18654823034203102,0.27659032307827924,2.05436610196048,4.493216472568831,,True
Figure 3/Coating top-view SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.46090682771682623,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna,0.47580907307827924,0.5241909269217208,58.561504140858155,-2433.0647569465973,0.21727939968936272,13.489471844370598,2136.0,10.764037863974309,9.520109567492526,1.0,1.2329803338037013,5.781277964153003,0.4418127598319497,3.259436986717459,0.16259483993053436,2.1386045002537375,6.430359274740701,8.774870117464573,0.40781883594851903,0.5446353799365303,10.157117231996326,11.05501024302332,,True
Figure 3/High magnification SP coating SEM.tif,1024,709,709,0.011165,tiff_metadata,11.43296,0.4198913671932587,Figure 3,unknown,base,unknown,spray,none,,,top,coating,base|unknown|unknown|spray|none|na|sprayna,0.5373049629760226,0.4626950370239774,7436206.091848594,1624253.0393785192,22.275807866930016,0.12273119426253598,391.0,0.06666422005389822,0.06472772541914026,1.0,1.3939603815328718,4.837341324120434,0.4491242705802052,3.213906225187111,0.1542525738477707,4.837341324120434,,,0.4771795662905501,0.5937307166784203,0.06423924982890653,0.06666422005389822,,True
Figure 4/sieved SP coating_SEM.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.4389908532107256,Figure 4,PDMS,base,sieved,spray,none,,,top,coating,base|PDMS|sieved|spray|none|na|sprayna,0.5153605430183357,0.48463945698166433,24.308548888658102,-1109.3537765551243,0.18625658043503113,21.230811087496356,1057.0,20.078471340060972,10.132503870817905,0.9276858030412474,1.3255409621123733,5.436669845350646,0.45906964599458416,3.1955097657327753,0.19163420796394348,1.9380448330942106,5.023800257852259,9.348164445105468,0.4635600317348378,0.5660302252291961,19.02309646634436,21.417200781056376,,True
Figure 4/unsieved SP coating_SEM_01.tif,1024,709,709,1.1165,tiff_metadata,1143.296,0.40316983631055336,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna,0.41871391264104374,0.5812860873589563,19.888812727083902,-1977.8319323044548,0.1986511509622618,15.814735234579523,1791.0,12.598353400621399,10.287058233766839,0.9765301792254112,1.3002597227939108,5.034343082249556,0.4590377118859916,3.1847002481266915,0.23348945379257202,2.161881639498082,4.983203742825781,7.957943864424805,0.3634079689703808,0.4742664073519041,11.615107926571602,13.451360510517945,,True
Figure 4/unsieved SP coating_SEM_02.tif,1024,709,709,0.4466,tiff_metadata,457.3184,0.38611193199562877,Figure 4,PDMS,base,unsieved,spray,none,,,top,coating,base|PDMS|unsieved|spray|none|na|sprayna,0.44185389853667134,0.5581461014633287,158.83426830657285,-3031.6627733298033,0.46024419359214297,12.330174369791688,470.0,10.015484840252647,9.567279108243152,0.8006554716135295,1.3306263879324862,5.3426971663038545,0.4552332573398377,3.0700555169353234,0.2363201230764389,2.0888610286110696,5.66544842884049,8.273782041460006,0.3968865699929478,0.48411054301833567,9.373706991585482,10.843369911050145,,True
