audit_id,image_relative_path,condition_key,property_workbook_paths,preparation_test_state,image_property_scope,same_coupon_verified,pairing_confidence,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction,pinning_semantics,evidence,manual_review_status,audit_note
PAIR-01,Figure 3/Coating top-view SEM.tif,base|unknown|unknown|spray|none|na|sprayna,Figure 3/Contact angle_ hysteresis_roll-off angle.xlsx,baseline,condition-level,False,medium_condition_match,153.92000000000002,1.3461480636315837,5.0,,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 3 folder; manuscript Figure 3 identifies the baseline SP coating SEM and wetting measurements.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-02,Figure 3/High magnification SP coating SEM.tif,base|unknown|unknown|spray|none|na|sprayna,Figure 3/Contact angle_ hysteresis_roll-off angle.xlsx,baseline,condition-level,False,medium_condition_match,153.92000000000002,1.3461480636315837,5.0,,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 3 folder; manuscript Figure 3 identifies the baseline SP coating SEM and wetting measurements.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-03,Figure 4/sieved SP coating_SEM.tif,base|PDMS|sieved|spray|none|na|sprayna,Figure 4/Sieved SP contact angle and pinning fraction.xlsx,baseline,condition-level,False,high_condition_match,151.63,,,1.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 4 folder; manuscript Figure 4 contrasts sieved and unsieved SP coatings and reports their wetting/pinning behavior.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-04,Figure 4/unsieved SP coating_SEM_01.tif,base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/Unsieved SP contact angle_hysteresis_ pinning fraction.xlsx,baseline,condition-level,False,high_condition_match,153.49,1.7924277461278493,,0.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 4 folder; manuscript Figure 4 contrasts sieved and unsieved SP coatings and reports their wetting/pinning behavior.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-05,Figure 4/unsieved SP coating_SEM_02.tif,base|PDMS|unsieved|spray|none|na|sprayna,Figure 4/Unsieved SP contact angle_hysteresis_ pinning fraction.xlsx,baseline,condition-level,False,high_condition_match,153.49,1.7924277461278493,,0.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 4 folder; manuscript Figure 4 contrasts sieved and unsieved SP coatings and reports their wetting/pinning behavior.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-06,Figure 5/Unsintered SP_Coating after tape test_SEM.tif,unsintered|PDMS|unknown|spray|tape|1|sprayna,Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_1_wetting data.xlsx,"post-tape, cycle 1",condition-level,False,high_condition_match,148.54,,11.0,0.7,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 5 folder; manuscript Figure 5 identifies unsintered failure after tape cycle 1 and 900 C failure after tape cycle 5.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-07,Figure 6/900C SP_coating failure after abrasion_magnified_SEM.tif,900C|PUR|unknown|spray|abrasion|15|sprayna,Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 15/Abrasion.xlsx,"post-abrasion, cycle 15",condition-level,False,high_condition_match,144.51,,,1.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 6 folder; manuscript Figure 6 identifies 900 C/PUR failure after abrasion cycle 15.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-08,Figure 6/900C SP_coating failure after abrasion_SEM.tif,900C|PUR|unknown|spray|abrasion|15|sprayna,Figure 6/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 15/Abrasion.xlsx,"post-abrasion, cycle 15",condition-level,False,high_condition_match,144.51,,,1.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Figure 6 folder; manuscript Figure 6 identifies 900 C/PUR failure after abrasion cycle 15.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-09,Supplementary Figure S4/SP dip coating_SEM.tif,base|unknown|unknown|dip|none|na|sprayna,Supplementary Figure S4/Contact angle_ hysteresis_roll-off angle_Dip coating.xlsx,baseline,condition-level,False,medium_condition_match,153.45999999999998,2.079733893557413,5.0,,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Supplementary Figure S4 folder; file names identify the dip-coated preparation and matching wetting workbook.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
PAIR-10,Supplementary Figure S7/sieved SP coating_PUR_SEM.tif,base|PUR|sieved|spray|none|na|sprayna,Supplementary Figure S7/Sieved SP contact angle and pinning fraction_PUR.xlsx,baseline,condition-level,False,high_condition_match,150.04000000000002,,,1.0,fraction pinned at 5 deg; lower is better; denominator 10 droplets,Dataset Supplementary Figure S7 folder; file names identify sieved/unsieved PUR preparations and matching wetting workbooks.,reviewed,No coupon/specimen identifier is supplied; do not interpret as an exact specimen-level pairing.
