relative_path,sha256,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,duplicate_sha256
Figure 3/Contact angle_ hysteresis_roll-off angle.xlsx,3ac771a947ff813ffbdfb6a8b623ce1a5f4aa1a1ad8aa40a0dcd255ee6119832,153.92000000000002,0.9444907310066367,5,reported_CA_Stabw,1.3461480636315837,5.0,,Figure 3,unknown,base,unknown,spray,none,,,top,other,base|unknown|unknown|spray|none|na|sprayna,False
Figure 4/Sieved SP contact angle and pinning fraction.xlsx,47cd5565c23699ce8e33b9866b148d4e275098fd1e3859a05b2ab44f91e84244,151.63,0.7345046655973397,5,reported_CA_Stabw,,,1.0,Figure 4,PDMS,base,sieved,spray,none,,,top,particle,base|PDMS|sieved|spray|none|na|sprayna,False
Figure 4/Unsieved SP contact angle_hysteresis_ pinning fraction.xlsx,c16765f7e432a0e892501f3328deb95174cd2dc6ed3fe71a3813ebb4936f679e,153.49,0.6389760849740129,5,reported_CA_Stabw,1.7924277461278493,,0.0,Figure 4,PDMS,base,unsieved,spray,none,,,top,particle,base|PDMS|unsieved|spray|none|na|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_0_wetting data.xlsx,d881c114e5e0eb7fc3934d87f90778419f24a57b0893c48dba043b6826bac8dc,152.76,1.6927205709370692,10,reported_CA_Stabw,2.635206402061692,5.0,0.0,Figure 5,PDMS,500C,unknown,spray,abrasion,0.0,,top,coating,500C|PDMS|unknown|spray|abrasion|0|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_1_wetting data.xlsx,883b8f64b8715ae2d43a2b2df8da50f7fef5a6194058c3b4d7613bf71e0b0eab,152.875,2.201673836449725,10,reported_CA_Stabw,2.3003589437338974,6.0,0.2,Figure 5,PDMS,500C,unknown,spray,abrasion,1.0,,top,coating,500C|PDMS|unknown|spray|abrasion|1|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_2_wetting data.xlsx,193b58586bd52963e8c04c0dc9265fab57b17fff87b3d72a074ebd219238f779,150.94,2.339484340073441,10,reported_CA_Stabw,3.8133099159036705,7.0,0.3,Figure 5,PDMS,500C,unknown,spray,abrasion,2.0,,top,coating,500C|PDMS|unknown|spray|abrasion|2|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_3_wetting data.xlsx,e5979467b9b58c1d14207ea63558caa016721bf689e0c9c28a049f6eb55fd62e,149.675,2.217251962868489,10,reported_CA_Stabw,,11.0,0.8,Figure 5,PDMS,500C,unknown,spray,abrasion,3.0,,top,coating,500C|PDMS|unknown|spray|abrasion|3|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_4_wetting data.xlsx,18b54227c61b695c64c167360531ec0381801c427342f4bcfb20d833451c10ad,145.98333333333332,3.049605378945859,10,reported_CA_Stabw,,18.0,1.0,Figure 5,PDMS,500C,unknown,spray,abrasion,4.0,,top,coating,500C|PDMS|unknown|spray|abrasion|4|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_5_wetting data.xlsx,a931664f1dbad1bfed1ab5af493abe9ece043b50808976a27b9943347f3022c8,145.70999999999998,1.1661723815095897,10,reported_CA_Stabw,,,1.0,Figure 5,PDMS,500C,unknown,spray,abrasion,5.0,,top,coating,500C|PDMS|unknown|spray|abrasion|5|sprayna,False
Figure 5/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Tape test cycle_0_wetting data.xlsx,49a2140d5b2a9217b660eef16dca05359b65f56557b8fbf70bc59ce467762c15,154.0,1.5319217601684625,5,reported_CA_Stabw,3.3722915128240722,5.0,0.0,Figure 5,PDMS,500C,unknown,spray,tape,0.0,,top,coating,500C|PDMS|unknown|spray|tape|0|sprayna,False
