target,model,permutation_index,mae_skill_vs_mean_baseline
contact_angle_deg,Ridge,1,-0.7676963162834056
contact_angle_deg,Ridge,2,-1.4788669179173297
contact_angle_deg,Ridge,3,-0.5325131801049601
contact_angle_deg,Ridge,4,0.03613314688369229
contact_angle_deg,Ridge,5,-0.7389174335215927
contact_angle_deg,Ridge,6,0.11195419041558097
contact_angle_deg,Ridge,7,0.9038238238370973
contact_angle_deg,Ridge,8,-0.05754257884266778
contact_angle_deg,Ridge,9,0.16644875152589123
contact_angle_deg,Ridge,10,0.16762750455738384
contact_angle_deg,Ridge,11,0.15676998541736253
contact_angle_deg,Ridge,12,-1.935819645415215
contact_angle_deg,Ridge,13,-0.7869702373404017
contact_angle_deg,Ridge,14,-0.3346062316469869
contact_angle_deg,Ridge,15,-0.43501292553537496
contact_angle_deg,Ridge,16,-0.8145569836412179
contact_angle_deg,Ridge,17,-0.7259256628689315
contact_angle_deg,Ridge,18,-0.013470400554830064
contact_angle_deg,Ridge,19,0.03141027508473471
contact_angle_deg,Ridge,20,-0.7423478821316074
contact_angle_deg,Ridge,21,-1.0689653631687612
contact_angle_deg,Ridge,22,0.5922515677390123
contact_angle_deg,Ridge,23,-0.39519145088033625
contact_angle_deg,Ridge,24,-0.3236593809977393
contact_angle_deg,Ridge,25,0.2909844830338777
contact_angle_deg,Ridge,26,0.192139885441712
contact_angle_deg,Ridge,27,-0.4879986837382191
contact_angle_deg,Ridge,28,-0.7384218920657375
contact_angle_deg,Ridge,29,-0.05194453519327524
contact_angle_deg,Ridge,30,0.21811826519054378
contact_angle_deg,Ridge,31,-0.7497172362368936
contact_angle_deg,Ridge,32,-0.23946481082316495
contact_angle_deg,Ridge,33,-1.1468995599186087
contact_angle_deg,Ridge,34,-0.3095460807701862
contact_angle_deg,Ridge,35,-0.4921750421328106
contact_angle_deg,Ridge,36,-0.321467401452999
contact_angle_deg,Ridge,37,-0.5976649930447202
contact_angle_deg,Ridge,38,0.016914987373429113
contact_angle_deg,Ridge,39,-0.23370378302782413
contact_angle_deg,Ridge,40,-0.7598937888937947
contact_angle_deg,Ridge,41,0.16857271884280678
contact_angle_deg,Ridge,42,-0.04434820544916107
contact_angle_deg,Ridge,43,-0.30353669556302165
contact_angle_deg,Ridge,44,-0.6732926677538487
contact_angle_deg,Ridge,45,-0.7369248648679267
contact_angle_deg,Ridge,46,-0.37423554436261597
contact_angle_deg,Ridge,47,-0.19644871915239293
contact_angle_deg,Ridge,48,0.05609420518882402
contact_angle_deg,Ridge,49,0.4980916567958822
contact_angle_deg,Ridge,50,-0.13974589758040779
contact_angle_deg,Ridge,51,-0.815077440646796
contact_angle_deg,Ridge,52,0.5622050616141614
contact_angle_deg,Ridge,53,-0.7469274074901158
contact_angle_deg,Ridge,54,-0.6139460986063412
contact_angle_deg,Ridge,55,-0.13150838382023267
contact_angle_deg,Ridge,56,0.19939542132399168
contact_angle_deg,Ridge,57,-0.3527247540009206
contact_angle_deg,Ridge,58,-0.31747119073317975
contact_angle_deg,Ridge,59,0.23388901560114306
contact_angle_deg,Ridge,60,0.4308151368754878
contact_angle_deg,Ridge,61,-0.2969815078861906
contact_angle_deg,Ridge,62,-0.2558817980228909
contact_angle_deg,Ridge,63,-0.869198005675667
contact_angle_deg,Ridge,64,-0.5475144806930494
contact_angle_deg,Ridge,65,-0.27023940233340227
contact_angle_deg,Ridge,66,-0.017349105763194927
contact_angle_deg,Ridge,67,0.11873718935996891
contact_angle_deg,Ridge,68,-0.8844225367298684
contact_angle_deg,Ridge,69,-0.6006590558493663
contact_angle_deg,Ridge,70,-0.6311038917155116
contact_angle_deg,Ridge,71,-1.0640059659233039
contact_angle_deg,Ridge,72,-0.11202764088597661
contact_angle_deg,Ridge,73,-0.5141801441606759
contact_angle_deg,Ridge,74,-0.5888105128085428
contact_angle_deg,Ridge,75,-0.15510058857980624
contact_angle_deg,Ridge,76,-1.32401818923503
contact_angle_deg,Ridge,77,0.017528900216156273
contact_angle_deg,Ridge,78,0.3547480728478263
contact_angle_deg,Ridge,79,-0.5365715860956044
contact_angle_deg,Ridge,80,-0.6885908592074337
contact_angle_deg,Ridge,81,-1.1992751572291773
contact_angle_deg,Ridge,82,-0.6277008049607709
contact_angle_deg,Ridge,83,-0.1362153989422481
contact_angle_deg,Ridge,84,0.23593555506273844
contact_angle_deg,Ridge,85,-0.39648298566137896
contact_angle_deg,Ridge,86,-0.9439385200794135
contact_angle_deg,Ridge,87,-0.38033827031960854
contact_angle_deg,Ridge,88,0.25044719366609414
contact_angle_deg,Ridge,89,0.4874489153711288
contact_angle_deg,Ridge,90,-0.3163747440905169
contact_angle_deg,Ridge,91,-0.4970762638838231
contact_angle_deg,Ridge,92,-0.5147270100858634
contact_angle_deg,Ridge,93,-0.310659283640895
contact_angle_deg,Ridge,94,-1.6875758993237469
contact_angle_deg,Ridge,95,-0.3266313017317337
contact_angle_deg,Ridge,96,-0.2794445892657649
contact_angle_deg,Ridge,97,-0.26938593295895075
contact_angle_deg,Ridge,98,0.006336414469970464
contact_angle_deg,Ridge,99,0.03247773216879679
contact_angle_deg,Ridge,100,0.33840754321080624
contact_angle_deg,Ridge,101,-0.20984452722024471
contact_angle_deg,Ridge,102,-0.5980840875196343
contact_angle_deg,Ridge,103,-0.9090798419152968
contact_angle_deg,Ridge,104,-0.9164922311731303
contact_angle_deg,Ridge,105,-0.4995073756891948
contact_angle_deg,Ridge,106,-0.8667613977459752
contact_angle_deg,Ridge,107,-0.6926322686954229
contact_angle_deg,Ridge,108,-0.7445865487324994
contact_angle_deg,Ridge,109,-0.04986292717461538
contact_angle_deg,Ridge,110,0.08087195039874473
contact_angle_deg,Ridge,111,0.06121227997887857
contact_angle_deg,Ridge,112,0.13861022540818269
contact_angle_deg,Ridge,113,0.6301121699742609
contact_angle_deg,Ridge,114,-0.7693287184574196
contact_angle_deg,Ridge,115,-0.8926922014893499
contact_angle_deg,Ridge,116,-0.22151361851113194
contact_angle_deg,Ridge,117,-0.6170184763150459
contact_angle_deg,Ridge,118,-1.3426923838273765
contact_angle_deg,Ridge,119,0.23996055020088392
contact_angle_deg,Ridge,120,-0.44519393391355067
contact_angle_deg,Ridge,121,-1.5845249308593665
contact_angle_deg,Ridge,122,-0.5035089807342317
contact_angle_deg,Ridge,123,-0.7762314888992599
contact_angle_deg,Ridge,124,0.13141966523451387
contact_angle_deg,Ridge,125,-1.1364067820442791
contact_angle_deg,Ridge,126,0.0976563352149924
contact_angle_deg,Ridge,127,-0.21812249991373278
contact_angle_deg,Ridge,128,0.003514806300138673
contact_angle_deg,Ridge,129,-0.5685460938083331
contact_angle_deg,Ridge,130,-0.4525993545952751
contact_angle_deg,Ridge,131,-0.521391205346184
contact_angle_deg,Ridge,132,0.04121352391056732
contact_angle_deg,Ridge,133,-0.2858808187151176
contact_angle_deg,Ridge,134,0.9104177400830373
contact_angle_deg,Ridge,135,0.19855094852871957
contact_angle_deg,Ridge,136,-1.7695955021948038
contact_angle_deg,Ridge,137,0.9436342892915768
contact_angle_deg,Ridge,138,-0.38829882569996244
contact_angle_deg,Ridge,139,-0.1830928638144087
contact_angle_deg,Ridge,140,-0.2803178484947786
contact_angle_deg,Ridge,141,0.04045255412751203
contact_angle_deg,Ridge,142,0.19048951154484683
contact_angle_deg,Ridge,143,-1.1719719789356446
contact_angle_deg,Ridge,144,-1.5835134186186863
contact_angle_deg,Ridge,145,-0.6745424405772873
contact_angle_deg,Ridge,146,-0.3535950544053499
contact_angle_deg,Ridge,147,0.10608384224641654
contact_angle_deg,Ridge,148,-0.4811718187539249
contact_angle_deg,Ridge,149,-0.11363389065350304
contact_angle_deg,Ridge,150,0.9925051827398796
contact_angle_deg,Ridge,151,-0.038017843587446976
contact_angle_deg,Ridge,152,-0.05499864984458469
contact_angle_deg,Ridge,153,0.8947302436996516
contact_angle_deg,Ridge,154,-0.4456927945835574
contact_angle_deg,Ridge,155,-0.04324335377387456
contact_angle_deg,Ridge,156,-1.2429587220120126
contact_angle_deg,Ridge,157,-0.5443933811863211
contact_angle_deg,Ridge,158,-0.10689302935093892
contact_angle_deg,Ridge,159,-1.9171164878944822
contact_angle_deg,Ridge,160,-0.664042056465874
contact_angle_deg,Ridge,161,0.10616660662896749
contact_angle_deg,Ridge,162,-0.0044218021583155576
contact_angle_deg,Ridge,163,-0.6988128367998065
contact_angle_deg,Ridge,164,-0.004951171450169767
contact_angle_deg,Ridge,165,0.009296549705506862
contact_angle_deg,Ridge,166,-0.4446765905099106
contact_angle_deg,Ridge,167,-0.8109270363285717
contact_angle_deg,Ridge,168,-0.732638419216876
contact_angle_deg,Ridge,169,-0.7459580615204402
contact_angle_deg,Ridge,170,-0.4511318781554152
contact_angle_deg,Ridge,171,0.08314599640881326
contact_angle_deg,Ridge,172,-2.0328389888107203
contact_angle_deg,Ridge,173,-0.732050191795306
contact_angle_deg,Ridge,174,-0.16728555160625547
contact_angle_deg,Ridge,175,0.06438290038909145
contact_angle_deg,Ridge,176,-0.2871204610012157
contact_angle_deg,Ridge,177,-0.6418403100233192
contact_angle_deg,Ridge,178,0.3484451196902434
contact_angle_deg,Ridge,179,-0.573528102537157
